articles,categories,dates,titles
"한국지엠이 오는 5월부터 군산공장을 폐쇄하겠다고 발표한 13일, 인천지법에서는 군산공장 비정규직 8명을 정규직으로 직접 고용하거나 고용의사를 밝히라는 판결이 나왔다. 오랫동안 정규직과 같은 일을 하면서도 차별을 받았던 8명의 근로자를 정규직으로 인정한 것이다. 그러나 5월 군산공장이 폐쇄되면 이들이 돌아갈 일자리는 사라진다. 정규직도 좋지만 일자리가 없으면 실업자다.카허 카젬(Kaher Kazem) 한국지엠 사장은 이날 군산공장 폐쇄 발표문에서 “이번 조치는 한국에서의 사업구조를 조정하기 위한, 힘들지만 반드시 필요한 우리 노력의 첫걸음”이라고 했다. ‘첫걸음’이란 말에 인천과 창원 등 다른 지역 한국지엠 공장들도 구조조정의 불똥이 튀지 않을까 바싹 긴장하고 있다. 한국지엠은 그동안 2조 원이 넘는 적자를 기록했다. 적자가 계속되고, 미래 비전도 보이지 않는 공장을 계속 가동하는 기업은 없다.회사가 어려울 땐 회사를 살리는 것이 우선이다. 우리나라 노동 구조상 생존을 위협하는 노동 착취는 불가능하다. 한국지엠 비정규직은 정규직보다 임금과 복지에서 차별을 받지만 임금은 우리나라 전체 근로자 평균보다 높다. 근로조건도, 근로자의 권리도 소중하지만 일자리가 없으면 아무 소용이 없다.임금이 2.2배 오를 때 품질 향상과 신제품 개발, 노사 화합에 힘을 썼다면 한국지엠의 모습은 달라졌을 것이다. 일자리가 최대 복지가 된 이상, 법도 현실에 맞게 바뀌어야 한다. 일자리를 만들고, 지키기 위해선 경직된 노동 유연성에 탄력을 부여할 필요가 있다. 정규직이든, 비정규직이든 동일 노동, 동일 임금 원칙이 바로 서기 위해선 기존 노조의 기득권 포기가 선행돼야 한다. “근로자의 임금 인상과 근로조건 개선도 중요한 문제지만 무엇보다 지금은 일자리를 지키는 것이 급선무”라는 문승 GM코리아 협신회 부회장의 말에서 만시지탄을 느낀다.지건태 인천 = 전국부 기자 jus216@[Copyrightⓒmunhwa.com '대한민국 오후를 여는 유일석간 문화일보' 무단 전재 및 재배포 금지()]",,,돌아갈 공장 문 닫는데… 의미없는 ‘정규직化’
"【부산=뉴시스】허상천 기자 = 부산시는 군에서 기술병으로 복무한 뒤 전역 후 취업으로 바로 연계될 수 있도록 지원하는 '취업맞춤특기병'제도를 운영한다.부산시는 23일 오후 3시 시청 국제회의장에서 시 일자리경제본부장, 부산병무청장, 부산경제진흥원장, 부산시맞춤훈련협의회장 등이 참석한 가운데 ‘취업맞춤특기병 취업지원 협약’을 체결한다고 22일 밝혔다.이 협약은 군특기병 모집단계에서부터 부산시 청장년 실업해소 맞춤훈련을 이수토록 해 ‘취업맞춤특기병’으로 복무한 이후 전역과 함께 관련 업종에 취업이 연계될 수 있도록 하기 위해 마련됐다. 취업맞춤특기병은 고졸이하(대학 중퇴, 폴리텍대·방통대 재학 가능)학력의 병역 의무자가 본인의 적성에 맞는 기술 훈련을 받고 해당기술훈련과 연관된 분야의 기술 특기병으로 군 복무 후 취업지원을 통해 안정적으로 사회에 진출하게 된다.이를 위해 부산시, 부산병무청, 부산경제진흥원, 부산시맞춤훈련협의회 등 4개 기관이 유기적인 역할을 추진해 나가기로 했다.부산시는 ‘취업맞춤특기병’협약이 원활하게 수행될 수 있도록 기관 간 협조체제 유지 및 조정으로 고용률을 높이는데 최선을 다하고 부산병무청은 취업맞춤특기병의 모집 및 관리로 이들의 최종 취업 시까지 협약기관 간 협조체제를 구축할 계획이다.또 부산경제진흥원은 취업맞춤특기병 전역자의 취업알선을 위해 일자리정보망을 통한 온·오프라인 정보를 제공하고 부산일자리종합센터를 통해 이력서 작성과 구인정보 검색, 일자리 정보 제공 등 취업 지원에 나선다.아울러 부산시맞춤훈련협의회는 훈련생 모집 과정에서부터 군 취업맞춤특기병 제도를 감안해 저학력 청년층을 최우선적으로 선발 훈련시키고 전역 후에도 취업알선 지원을 할 방침이다.부산시 관계자는 “시와 부산병무청 등이 협업해 최근 심각한 청년 실업률을 해소하고 청년 고용률을 향상시키는데 행정력을 집중하고 있다”며 “보다 많은 취업맞춤특기병 전역자들이 취업할 수 있도록 사업 홍보와 지원에 최선을 다할 것”이라고 말했다.heraid@newsis.com▶ 뉴시스 SNS",,,"부산시, ‘취업맞춤특기병’ 모집·취업지원 협약 체결"
"한국GM이 철수할 경우 국내 자동차산업 종사자 10명 가운데 4명 이상이 영향을 받을 것으로 보인다.산업통상자원부는 한국GM과 협력사의 총 고용 인원이 2016년 기준 15만 6000명으로 추정된다고 16일 밝혔다.한국GM이 약 1만 6000명을, 부품 협력사가 약 14만 명을 각각 고용했다.1차 협력사 301개사가 약 9만 3000명을 고용했는 데, 이 가운데 86개사(고용 인원 1만 1000명)는 한국GM에만 납품하는 전속 협력사다.또 2차 협력사 1000개사가 약 3만 명을, 3차 협력사 1700개사가 약 1만 7000명을 각각 고용한 것으로 산업부는 추정했다.통계청의 2016년 기준 광공업·제조업 조사에 따르면 완성차 업체와 부품 협력사를 포함한 전체 자동차산업의 직접 고용 인원은 약 35만 명이다.한국GM이 철수하거나 사업 규모를 대폭 줄일 경우 우리나라 자동차산업 고용 인원의 약 44.6%(35만 명 중 15만 6000명)가 직·간접적으로 영향을 받을 수 있는 셈이다.협력사 가운데는 한국GM 외에 다른 완성차 업체에도 납품하는 곳이 있지만, 한국GM 주문이 줄면 매출이 감소할 가능성이 크다.35만 명 중 국내 완성차 업체 7개사가 고용한 인원은 2016년 기준 12만 8526명이다.구체적으로는 현대차 6만 7517명, 기아차 3만 4102명, 한국GM 1만 5906명, 르노삼성 4226명, 쌍용차 4833명, 자일대우버스 611명, 타타대우 상용차 1331명 등으로, 한국GM이 세 번째로 많은 인원을 고용했다. 송현수 기자 songh@busan.com",,,"한국GM·협력사, 15만 6000명 고용…자동차산업 종사자 10명 중 4명"
"올해 상반기 반도체·전자·기계업종 일자리는 증가하고 조선·섬유업종 등은 감소할 전망이다. 반도체 업종이 4차 산업혁명에 따른 수요 범위 확대에 힘입어 상반기 산업계 고용창출을 주도한다.한국고용정보원과 한국산업기술진흥원(KIAT)은 기계·전자·조선·자동차 등 국내 8개 주력 제조업종과 건설 및 금융보험업에 대한 2018년 상반기 일자리 전망을 1일 발표했다.가장 큰 폭으로 일자리가 늘어날 것으로 예상되는 분야는 반도체다. 4차 산업혁명 패러다임 전환 가속화로 기존 PC, 스마트폰 등 전통적 수요처에서 사물인터넷(IoT), 인공지능, 빅데이터 분야 등으로 반도체 수요 범위가 확대되기 때문이다.주요 반도체 업체 삼성전자와 SK하이닉스 등이 시설 투자를 확대함에 따라 올해 상반기 반도체 업종 고용은 지난해 동기 대비 6.5%(7000명) 증가할 전망이다.전자·기계업종도 일자리 증가가 기대된다. 고용정보원은 전자업종 상반기 고용 규모가 전년 동기 대비 1.7%(1만2000명) 늘어날 것으로 예상했다. 전자·IT 성장세 지속, OLED·메모리·시스템 반도체 관련 전자 제품 등 주력 품목의 견조한 수요 증가를 바탕으로 전자 업종의 성장세가 지속된다.기계업종 고용은 글로벌 경기 회복과 미국·중국·신흥국 등의 수요 확대로 전년 동기 대비 1.9%(1만4000명) 증가할 것으로 보인다. 미국 보호무역주의, 중국 자국산 설비 대체 확대, 국내 SOC 예산 감소, 국내 기계 수요 산업 부진 등은 고용 증가 제한 요인이다.조선과 섬유 업종은 고용 감소가 우려된다. 조선업종은 선박 건조량이 평년 수준에 크게 미치지 못한다. 이에 따라 상반기 고용 규모는 지난해 같은 기간에 비해 20.8%(2만9000명) 감소할 것으로 예상된다.섬유업종 고용은 전반적인 생산 감소, 중국·미국·중동 등 자체 생산 확대와 섬유제품 수요 감소, 자동화 설비 증가 등 영향으로 2.6%(5000명) 줄어들 전망이다.철강·자동차·디스플레이·건설·금융보험 업종은 지난해 상반기 고용 수준을 유지할 것으로 보인다.고용정보원 관계자는 “이번 일자리 전망 발표가 기업과 구직자 간 구인·구직활동, 일자리 미스매치 해소에 기여하고 미래 고용 트렌드를 대비하는데 도움이 되길 기대한다”고 말했다.",,,"올해 상반기 일자리 반도체·전자 증가, 조선·섬유 감소"
"(군산=뉴스1) 김재수 기자 = 한국지엠 군산공장 폐쇄로 군산은 물론 전북지역 경제가 '패닉' 상태에 빠졌다.공장 폐쇄로 고용은 물론 상권과 부동산 시장 등이 연쇄적인 타격을 피하기 어려워졌기 때문이다.군산공장 폐쇄는 전북경제의 두 축이었던 현대중공업 군산조선소 가동 중단에 이어 불과 7개월여 만으로 지역경제에 미칠 파장은 상상을 초월할 것으로 보인다.더욱이 한국지엠 군산공장은 현대중공업에 비해 여러 지표면에서 지역경제에서 차지하는 비중이 커 사태의 심각성을 더해주고 있다.우선 군산조선소의 가동중단에 이어 한국지엠 군산공장까지 폐쇄될 경우 군산지역 총생산액의 15.7%가 감소해 국가경제 손실은 물론 지역경제에도 영향이 뒤따를 것으로 예상된다.2016년 기준으로 전북 수출은 효자산업인 자동차와 조선이 군산 수출의 42.7%, 전북 수출의 13.6%를 차지했다.한국지엠 군산공장이 폐쇄되면 군산지역 수출의 절반가량이 감소하게 된다.군산지역에서 자동차와 조선이 차지하는 수출 실적은 42.7%, 이 가운데 자동차가 20%, 조선이 22.7%를 차지할 정도로 한국지엠 군산공장은 군산조선소와 함께 군산지역경제의 양대 견인차 역할을 해왔다.고용문제는 더욱 심각하다.현재 한국지엠 군산공장에서 일하는 직원은 사무직 260여명과 생산직 1580여명, 사내 도급 190여명으로 대략 2000여명이다.여기에다 군산공장과 인근의 1차 협력업체 35곳 5700여명, 2차 협력업체 100곳 5000여명을 합친 1만700여명에 달한다.가족들까지 포함하면 대략 5만여명에 이른다.군산시 인구가 26만여명임을 감안하면 전체 인구의 5분의 1이 한국지엠 군산공장과 직접 관련이 있는 셈이다.앞서 지난해 7월에 현대중공업 조선소가 문을 닫아 일자리를 잃은 5000명에 비하면 2.6배에 달하는 수치이다.현대중공업은 금융위기 이후 글로벌 경기가 점차 살아나던 2010년 3월 군산에 조선소를 세웠지만 이후 조선과 해운경기가 나빠지면서 실적이 악화되자 결국 잠정중단 조치를 내렸다.이 때문에 군산조선소 관련 50여개의 협력업체가 도산하고 관련 근로자 5000여명이 실직했다.군산시는 현대중공업 군산조선소와 한국지엠 군산공장 등 지역경제를 뒷받침해온 양대 기업의 가동중단과 폐쇄로 인해 근로자와 그 가족 등 대략 7만여명이 생계 위협을 받을 것으로 분석하고 있다.하지만 문제는 한국지엠 군산공장 폐쇄방침에 현재로선 정부에게 '산업재해 특별재난지역 지정'을 해달라는 것 외에는 뚜렷한 대안이 없다는 것이다.군산시 관계자는 ""한국지엠 군산공장 폐쇄에 따라 정부에 산업위기대응특별지역 및 고용재난지역 지정을 신청할 예정""이라며 ""앞으로 군산공장과 협력업체 직원들에게 단기 경영 및 고용안전을 위한 금융, 세제, 실직자 고용유지·재취업 지원 등을 위해 다각적인 노력을 기울여 나갈 방침""이라고 밝혔다.kjs67@",,,'조선소 이어 한국지엠 폐쇄'…군산 인구 7만명 직접 생계 위협
"현대차, 스타박스코리아 등 뒤이어[서울경제] 최근 5년 동안 가장 많은 일자리를 창출한 기업은 이마트인 것으로 나타났다. 업종별로는 제조업의 종업원 수 증가 폭이 가장 컸다. 유통과 제조업이 가장 많은 고용을 창출한 것을 감안할 때 해당 업종에 대한 각종 규제 또한 일자리 중심으로 재검토해야 한다는 지적이 나온다.한국경제연구원은 4일 공정위 대규모기업집단 공시자료를 통해 2011∼2016년 30대 그룹의 종업원 300인 이상 계열사 종업원 수를 분석한 결과를 발표했다. 일자리가 가장 많이 늘어난 곳은 이마트(1만5,307명)였다. 이어 현대자동차(9,906명), 스타벅스커피코리아(6,958명)가 뒤를 이었다.최근 3년(2013∼2016년) 기준으로는 삼성웰스토리(6,182명), 최근 1년(2015∼2016년) 기준으로는 CJ올리브네트웍스(4,033명)에서 가장 많은 고용을 창출했다.5년 동안 종업원 수 증가 상위 30위 기업의 총 종업원 수는 11만5,635명 늘었다. 업종별로 보면 제조업이 3만2,609명으로 가장 많았고 이어 도매 및 소매업(3만2,022명), 숙박 및 음식점업(1만5,723명) 등 순으로 조사됐다. 3년 기준으로는 숙박 및 음식점업(1만6,011명), 제조업(1만5,868명), 도매 및 소매업(7,535명) 순으로 종업원이 증가했다. 최근 1년간은 도매 및 소매업(9,421명)이 가장 많은 일자리를 창출했다.유환익 한경연 정책본부장은 “제조업·숙박음식업·도소매업의 종업원 수가 가장 많이 증가한 것을 알 수 있다”며 “일자리 창출이 정부의 중요한 국정 목표인 만큼 일자리를 많이 만드는 기업이 사회적으로 존중받을 수 있는 제도와 문화가 정착되기를 바란다”고 말했다./김우보기자 ubo@sedaily.com저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지",,,5년간 일자리 최다 창출 기업은 이마트
,,,'특별한 설 선물' 부경대 비정규직 91명 정규직 전환 
"업종별로는 제조업이 종업원 수 가장 많이 늘어(서울=연합뉴스) 윤보람 기자 = 30대 그룹 계열사 가운데 최근 5년간 가장 많은 일자리를 창출한 기업은 이마트로 나타났다. 업종별로는 제조업의 종업원 수 증가 폭이 가장 컸다.4일 한국경제연구원이 공정위 대규모기업집단 공시자료를 통해 2011∼2016년 30대 그룹의 종업원 300인 이상 계열사 종업원 수를 분석한 결과, 가장 많이 늘어난 곳은 이마트(1만5천307명)였다.이어 현대자동차(9천906명), 스타벅스커피코리아(6천958명), CJ CGV(56천525명), LG화학(5천723명) 등 순으로 조사됐다.최근 3년(2013∼2016년) 기준으로는 삼성웰스토리(6천182명), 최근 1년(2015∼2016년) 기준으로는 CJ올리브네트웍스(4천33명)에서 가장 많은 고용을 창출했다.5년 동안 종업원 수 증가 상위 30위 기업의 총 종업원 수는 11만5천635명 늘었다.업종별로 구분하면 제조업이 3만2천609명(38.5%)으로 가장 많았고 도매 및 소매업(3만2천22명·27.7%), 숙박 및 음식점업(1만5천723명·13.6%), 출판·영상·방송통신 및 정보서비스업(1만2천253명·10.6%)이 뒤를 이었다.3년 기준으로는 총 종업원 수 증가분 5만8천646명(18.6%) 중 숙박 및 음식점업(1만6천11명·27.3%), 제조업(1만5천868명·27.1%), 도매 및 소매업(7천535명·12.8%), 건설업(4천544명·7.7%) 순으로 업종별 비중이 높았다.1년 동안에는 도매 및 소매업(9천421명·35.7%), 숙박 및 음식점업(5천986명·22.7%), 제조업(4천218명·16.0%), 운수업(2천210명·8.4%) 순의 업종별 분포를 보이며 총 2만6천373명(9.7%) 늘었다.유환익 한경연 정책본부장은 ""제조업, 숙박음식업, 도소매업의 종업원 수가 가장 많이 증가한 것을 알 수 있다""며 ""일자리 창출이 정부의 중요한 국정 목표인 만큼 일자리를 많이 만드는 기업이 사회적으로 존중받을 수 있는 제도와 문화가 정착되기를 바란다""고 말했다.bryoon@yna.co.kr",,,5년간 일자리 최다 창출 기업은 이마트…2위는 현대차
"김동연 부총리 겸 기획재정부 장관은 2일 ""청년 일자리 대책 중 큰 줄기 하나는 해외 쪽""이라고 말했다.한중 경제장관회의 참석차 중국을 방문한 김 부총리는 이날 베이징(北京) 한 호텔에서 기자들과 만나 ""중관촌 등을 방문해서도 한국 일자리 문제를 해결할 수 있는 것이 뭐가 있는지 관심 있게 봤다""며 이같이 밝혔다.김 부총리는 ""국내로 돌아오는 해외 유턴 기업을 최대한 많이 만들어 일자리를 많이 만들 수 있을지도 포인트가 될 수 있다""며 ""청년 일자리 문제의 여러 돌파구 중 하나가 해외 쪽인 것은 확실하다""고 강조했다.김 부총리는 청년 실업 문제는 단기적인 경제 상황과 함께 천편일률적인 교육 시스템, 노동시장 이중구조 등 중장기적 과제가 복합돼있다고 분석했다.김 부총리는 ""모두 비슷한 교육을 받고 같은 일자리에 몰리다 보니 중소기업은 20만 명 이상의 구인난을 겪는 등 미스매치가 일어나고 있다""며 ""외환위기 즈음부터 대기업 일자리가 얼마나 늘었는지 파악하도록 지시를 했다""고 말했다.이어 ""정부로서 지금까지와는 다른 접근이 필요하다""며 ""경기 문제도 해결하고 중장기적으로 구조적 문제까지 해결할 수 있는 특단의 대책을 강구 중""이라고 강조했다.보유세 인상 논의와 관련해서는 ""다양한 견해가 있을 수 있기 때문에 앞으로 구성될 재정특위에서 다룰 문제""라며 ""국민 생활과 관련이 많아서 특위 중심 의견 수렴이 필요하다""고 말했다.[사진 출처 : 연합뉴스]송현정기자 (hjsong@kbs.co.kr)[저작권자ⓒ KBS 무단복제-재배포 금지]",,,김동연 “해외 일자리는 청년실업 대책 큰 줄기 중 하나”
"""경기·구조적 문제 모두 해결할 특단의 실업 대책 고민 중""""韓中 부동산 문제 비슷…보유세는 특위 중심의 의견 수렴 필요""(베이징=연합뉴스) 민경락 기자 = 김동연 부총리 겸 기획재정부 장관은 2일 ""청년 일자리 대책 중 큰 줄기 하나는 해외 쪽""이라고 말했다.한중 경제장관회의 참석차 중국을 방문한 김 부총리는 이날 베이징(北京) 한 호텔에서 기자들과 만나 ""중관촌 등을 방문해서도 한국 일자리 문제를 해결할 수 있는 것이 뭐가 있는지 관심 있게 봤다""며 이같이 밝혔다.김 부총리는 전날 중국 벤처·스타트업의 산실인 중관촌을 방문해 청년들과 중국 창업지원책 등에 관해 직접 대화를 나누기도 했다.김 부총리는 ""국내로 돌아오는 해외 유턴기업을 최대한 많이 만들어 일자리를 많이 만들 수 있을지도 포인트가 될 수 있다""며 ""청년 일자리 문제의 여러 돌파구 중 하나가 해외 쪽인 것은 확실하다""고 강조했다.김 부총리는 청년 실업 문제는 단기적인 경제 상황과 함께 천편일률적인 교육 시스템, 노동시장 이중구조 등 중장기적 과제가 복합돼있다고 분석했다.일자리 추가경정예산 등 재정 지원은 경제 상황을 개선해 단기적으로 청년들의 고용 상황을 나아지게 할 수 있다.하지만 이런 대책들만으로 중장기 과제까지 해결하기에는 다소 역부족이라는 것이 김 부총리의 판단이다.김 부총리는 ""모두 비슷한 교육을 받고 같은 일자리에 몰리다 보니 중소기업은 20만 명 이상의 구인난을 겪는 등 미스매치가 일어나고 있다""며 ""외환위기 즈음부터 대기업 일자리가 얼마나 늘었는지 파악하도록 지시를 했다""고 말했다.이어 ""정부로서 지금까지와는 다른 접근이 필요하다""며 ""경기 문제도 해결하고 중장기적으로 구조적 문제까지 해결할 수 있는 특단의 대책을 강구 중""이라고 강조했다.문재인 대통령은 지난달 25일 청년 일자리 점검회의에서 청년 실업 문제 심각성을 언급하며 ""각 부처가 청년 일자리 문제 해결에 정책의 최우선 순위를 두고 있는 것으로 보이지 않는다""고 지적한 바 있다.보유세 인상 논의와 관련해서는 ""다양한 견해가 있을 수 있기 때문에 앞으로 구성될 재정특위에서 다룰 문제""라며 ""국민 생활과 관련이 많아서 특위 중심 의견 수렴이 필요하다""고 말했다.김 부총리는 중국도 학군에 따른 부동산 가격 상승 등 한국과 비슷한 부동산 문제를 가지고 있다며 전날 중국 국가발전개혁위원회(발개위) 강연에서도 관련 질문을 받았다고 전했다.김 부총리는 앞서 저우 샤오촨 인민은행 총재와 면담에서는 가상화폐와 관련된 중국의 상황에 관해 설명을 들었다고 밝혔다.그는 ""부의 축적이 실물경제에 기반을 둬야 한다는 생각에 변함이 없다는 (인민은행 총재의) 말이 인상적이었다""며 ""국제 동향을 예의 주시하고 다른 나라 사례를 눈여겨보면서 계속 연구 중이라고 했다""고 설명했다.중국은 현지 가상통화 거래소를 폐쇄하고 채굴을 금지하는 등 가상통화 거래를 불건전한 투기로 보고 강력한 규제를 하고 있다.rock@yna.co.kr",,,"김동연 ""해외 일자리는 청년실업 대책 큰 줄기 중 하나"""
"최근 5년간 종업원이 가장 많이 증가한 기업은 이마트로 나타났다. 현대차·스타벅스·CJ CGV·LG화학 등이 상위 5개 기업에 이름을 올린 가운데 업종 중에서는 제조업에서 대기업 고용이 가장 많이 늘어난 것으로 나타났다.한국경제연구원은 공정위 대규모기업집단 공시자료를 바탕으로 지난 2011년부터 2016년까지 5년간 30대 그룹의 종업원 300인 이상 계열사 종업원 수를 분석한 결과, 이같이 나타났다고 4일 밝혔다.종업원 수가 가장 많이 증가한 이마트(1만5307명)으로 현대자동차(9906명)·스타벅스코리아(6958명)·CJ CGV(6525명)·LG화학(5723명) 등이 뒤를 이었다. 최근 3년(13~16년)을 기준으로는 삼성웰스토리(6182명), 최근 1년 간(15년~16년)은 CJ올리브네트웍스(4033명)로 조사됐다.최근 5년간 종업원수 증가 상위 30위 기업의 총종업원수는 11만5635명(38.5%)이 증가했다. 업종별로는 제조업이 3만2609명(28.2%)으로 가장 많았고 도매 및 소매업(3만2022명·27.7%), 숙박 및 음식점업(1만5723명·13.6%), 출판·영상·방송통신 및 정보서비스업(1만2253명·10.6%) 등의 순이었다.최근 3년간(13~16년) 종업원수가 가장 많이 늘어난 기업은 삼성웰스토리(6182명)다. 2위 스타벅스커피코리아(4857명), 3위 현대자동차(3943명), 4위 LG화학(3579명), 5위 삼성물산(3538명) 등의 순이었다. 3년 동안 종업원수 증가 상위 30위 기업의 총종업원수는 31만 4920명에서 37만3566명으로 5만8646명(18.6%) 증가했다.늘어난 5만8646명을 업종별로 보면 숙박 및 음식점업 1만6011명(27.3%), 제조업 1만 5,868명(27.1%), 도매및소매업 7,535명(12.8%), 건설업 4,544명(7.7%) 등의 순으로 분포하였다.2016년 1년간 종업원수가 가장 많이 늘어난 기업은 CJ올리브네트웍스(4033명)였다. 2위 롯데쇼핑(3240명), 3위 삼성웰스토리(2453명), 4위 스타벅스커피코리아(2388명), 5위 LG화학(1908명) 등의 순으로 나타났다.종업원수 증가 상위 30위 기업의 총종업원수는 지난 2015년 27만650명에서 2016년 29만7023명으로 1년 간 2만6373명(9.7%)이 증가했다. 2만6373명 중 도매 및 소매업 9421명(35.7%), 숙박및음식점업 5986명(22.7%), 제조업 4218명(16.0%), 운수업 2210명(8.4%) 등의 순이었다.유환익 한국경제연구원 정책본부장은 “이번 조사결과를 살펴보면 제조업·숙박음식업·도소매업의 종업원수가 가장 많이 증가한 것으로 나타났다”며 “일자리 창출이 정부의 중요한 국정목표인 만큼 일자리를 많이 만들고 있는 기업이 사회적으로 존중받을 수 있는 제도와 문화가 정착되기를 바란다”고 말했다.데일리안 이홍석 기자 (redstone@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지",,,최근 5년 종업원 가장 많이 증가한 기업은 이마트
"【광주=뉴시스】구용희 기자 =전남대학교병원과 전국보건의료산업노동조합 전남대병원지부가 14일 비정규직의 정규직 전환 등에 대해 합의했다.이날 전남대병원은 이삼용 병원장과 김혜란 지부장 등 노사 관계자 10여 명이 원장실서 협의를 갖고 정부의 공공부문 정규직 전환 가이드라인에 따른 상시·지속적 업무를 수행하는 지원직(유기계약직) 138명을 정규직(무기계약직 포함)으로 전환키로 합의했다.정규직 전환 대상자에 대해 내부 전형 또는 공개채용을 통해 올해 상반기까지 전환 절차를 추진할 계획이다.또 원무직 업무를 수행하고 있는 고용직 직원(4년 경과) 108명에 대해서는 연내 순차적으로 정규직으로 전환, 처우를 개선키로 했다.전남대병원 노사는 지난해 12월 14일부터 비정규직의 정규직 전환 등에 대해 10여 차례의 협의를 진행해 왔다.이삼용 병원장은 ""이번 합의는 병원발전을 위한 노사 공동 노력의 결실이다""고 말했다.persevere9@newsis.com▶ 뉴시스 SNS",,,전남대병원 비정규직 정규직 전환 노사 합의
"[세종=이데일리 최훈길 기자] 정부가 협력사를 포함한 한국GM 관련 고용 인원이 총 15만여명이라고 밝혔다. 한국GM이 공장을 모두 폐쇄하면 30만명의 일자리가 잃을 것으로 알려졌지만 정부 추산과는 격차가 있는 셈이다.산업통상자원부는 15일 오후 “한국GM과 협력사의 총 고용 인원은 15만6000명(2016년 기준)”이라고 밝혔다. 한국GM의 고용 인원은 1만6000명, 부품 협력사는 14만명으로 추산됐다. 1차 협력사는 301개사 9만3000명, 2차 협력사는 1000개사 3만명, 3차 협력사는 1700개사 1만7000명으로 추정됐다. 이는 자동차부품조합, 자동차산업협회 통계를 반영한 것이다. 다만 폐쇄 예정인 군산공장의 고용 인원은 따로 분류하지 않았다.국내 자동차 산업의 전체 직접 고용(완성차, 부품협력사 직원)은 약 35만명 수준이었다. 통계청 광공업·제조업 조사(2016년 기준)에 따르면 35만명 중 국내 완성차 7개사의 고용 인원은 약 13만명이었다. 현대차가 6만7517명, 기아차가 3만4102명, 한국GM이 1만5906명, 르노삼성이 4226명, 쌍용이 4833명, 티타대우상용차가 1331명, 자일대우버스가 611명이었다.산업부 고위관계자는 통화에서 “한국GM 및 협력사의 고용 현황과 관련한 언론의 질의가 많아 파악하고 있는 고용 현황을 밝힌 것”이라며 “2016년 추산 자료이지만 한국GM의 최근 경영상황이 안 좋아 지금도 최대 15만6000명 정도로 추산한다. 한국GM 관련 일자리가 30만명이라는 건 사실이 아니다”고 말했다.최훈길 (choigiga@edaily.co.kr)",,,"산업부 ""한국GM 일자리 총 15.6만명..30만명 사실 아냐"""
